"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"Bishop Bewick Catholic Education Trust","20836","C/O Sacred Heart Catholic High School, Fenham Hall Drive, Fenham, Newcastle upon Tyne, Tyne & Wear, NE4 9YH","NE4 9YH","","","14.9","30.9","","","0","0","11.7","88.3","16.4","83.6","23.4","76.6","26.7","73.3","https://www.bishopbewickcet.org/policies","","1000 to 4999","Bishop Bewick Catholic Education Trust","False","2026/03/31 00:00:00","2025/04/30 06:48:55"
"Bitterne Park School","20773","Bitterne Park School, Dimond Road, Southampton, Hampshire, United Kingdom, SO18 1BU","SO18 1BU","","","46","54","","","0","0","28","72","79","21","83","17","56","44","","","250 to 499","Bitterne Park School","False","2026/03/31 00:00:00","2025/04/09 13:41:37"
"BLACK SWAN INTERNATIONAL LIMITED","23","Chiswick House, 3 Christchurch Road, Norwich, Norfolk, England, NR2 2AD, NR2 2AD","NR2 2AD","02621410","87300","5.4","0","-2.5","0","7","5.4","41.9","58.1","0","100","23","77","18.5","81.5","","Tom Lyons (Managing Director)","500 to 999","BLACK SWAN INTERNATIONAL LIMITED","False","2026/04/05 00:00:00","2025/04/21 10:57:11"
"BRISTOL WASTE COMPANY LIMITED","2420","Albert Road Depot, Albert Road, Bristol, BS2 0XS","BS2 0XS","09472624","38110","0.3","17.2","-20","-167","0.7","2.6","78","22","91","9","89","11","54","46","","Gary Phillips (Interim Finance Director)","500 to 999","BRISTOL WASTE COMPANY LIMITED","False","2026/04/05 00:00:00","2025/04/23 12:18:12"
"BUREAU VERITAS UK LIMITED","2576","Fort Dunlop Suite 206, Fort Parkway, Birmingham, England, B24 9FD","B24 9FD","01758622","74909","8","23","7","23","43","57","43","57","83","17","88","12","74","26","","Elisete Rizzo (HR Director)","500 to 999","BUREAU VERITAS UK LIMITED","False","2026/04/05 00:00:00","2025/04/11 07:05:09"
"BUY IT DIRECT LTD","2611","Trident Business Park, Neptune Way, Huddersfield, England, HD2 1UA","HD2 1UA","04171412","47910","3.71","-2.1","-16","-174","66","52","72","28","73","27","71","29","69","31","https://www.buyitdirectgroup.co.uk/files/pdf/Gender-Pay-Gap-Statement.pdf","Cassie Lindley (People Director)","500 to 999","BUY IT DIRECT LTD","False","2026/04/05 00:00:00","2025/04/07 15:30:40"
"Cascade Multi Academy Trust","21919","Hucklow Primary School, The Lodge, 17 Hucklow Road, Sheffield, South Yorkshire, United Kingdom, S5 6TB","S5 6TB","","","5.44","22.41","","","0","0","8.97","91.03","7.69","92.31","10.26","89.74","11.54","88.46","","","250 to 499","Cascade Multi Academy Trust","False","2026/03/31 00:00:00","2025/05/12 11:05:46"
"CELTIC MANOR SERVICE COMPANY LIMITED","28260","Coldra Woods, Newport, Gwent, United Kingdom, NP18 1HQ","NP18 1HQ","10620944","70100","4.30","1.66","19.8","-31.3","14.71","37.59","47.8","52.2","43.3","56.7","47.8","52.2","63.2","36.8","","Julie Hammond (CEO)","250 to 499","CELTIC MANOR SERVICE COMPANY LIMITED","False","2026/04/05 00:00:00","2025/04/09 14:05:35"
"CHRIST CHURCH COLLEGE OXFORD","17080","St Aldates, Oxford, OX1 1DP","OX1 1DP","RC000112","","6","43","9","4","22","34","9.57","90.43","97.80","2.2","41.38","58.62","60","40","","Lisa James (Assistant College Acountant)","250 to 499","CHRIST CHURCH COLLEGE OXFORD","False","2026/04/05 00:00:00","2025/05/02 10:42:46"
"CITY GROUP SECURITY LIMITED","23414","Unit 18 Greenwich Centre Business Park, 53 Norman Road, London, United Kingdom, SE10 9QF","SE10 9QF","02814854","80100","-9.95","-2.24","-14","4","3.21","21.31","87.22","12.78","87.97","12.03","88.72","11.28","88.64","11.36","https://www.citygroupsecurity.com/wp-content/uploads/2025/04/Gender-Pay-Gap-Statement-2025.pdf","Mireille Burge (HR Manager)","500 to 999","CITY GROUP SECURITY LIMITED","False","2026/04/05 00:00:00","2025/04/16 14:28:13"
"CLAYESMORE SCHOOL","3336","Clayesmore School, Iwerne Minster, Blandford, Dorset, DT11 8LL","DT11 8LL","00359779","85200,
85310","6.35","12.52","","","0","0","34.18","65.82","44.30","55.70","22.78","77.22","35.44","64.56","","Nina Bailey Phinn (Director of Finance and Operations)","250 to 499","CLAYESMORE SCHOOL","False","2026/04/05 00:00:00","2025/04/24 07:06:42"
"CLEARSPRINGS READY HOMES LTD","23473","26 Brook Road, Rayleigh, SS6 7XJ","SS6 7XJ","07921508","68209","-3.62","-11.0","72.79","-7.93","1","1","52.4","47.6","56.7","43.3","64.4","35.6","63.5","36.5","","Claire Pycroft (Payroll Manager)","250 to 499","CLEARSPRINGS READY HOMES LTD","False","2026/04/05 00:00:00","2025/04/06 08:11:00"
"COLLINS EARTHWORKS LIMITED","19130","Collins Earthworks Limited, Whiteley Road, Ripley, Derbyshire, England, DE5 3QL","DE5 3QL","04083989","43110,
43120,
77320","50.1","36.9","61.4","88.7","94.9","76.1","72.8","27.2","94.6","5.4","96.7","3.3","97.8","2.2","https://www.collinsearthworks.co.uk","Jill Goodwin (Director)","250 to 499","COLLINS EARTHWORKS LIMITED","False","2026/04/05 00:00:00","2025/05/01 10:33:09"
"COUNTRY COURT CARE HOMES 6 LIMITED","22253","C/O Duncan & Toplis Limited Enterprise Way, Pinchbeck, Spalding, Lincolnshire, England, PE11 3YR","PE11 3YR","12961569","87300","-0.45","-0.83","28","8.57","1.11","2.08","22.66","77.34","25.54","74.46","21.05","78.95","30.67","69.33","https://www.countrycourtcare.co/gender-pay-gap-report/","David Gardner (Head of Finance)","500 to 999","COUNTRY COURT CARE HOMES 6 LIMITED","False","2026/04/05 00:00:00","2025/04/16 11:29:05"
"DECIDEBLOOM LIMITED","119","Stoneacre Omega Boulevard, Thorne, Doncaster, South Yorkshire, England, DN8 5TX","DN8 5TX","03003995","45111,
45112,
45200,
45320","27","13","83","93","84","23","71","29","64","36","81","19","89","11","","Sarah Waddington (Head of HR & Compliance)","1000 to 4999","DECIDEBLOOM LIMITED","False","2026/04/05 00:00:00","2025/05/13 12:52:13"
"E H SMITH (BUILDERS MERCHANTS) LIMITED","4351","Westhaven House, Arleston Way, Shirley, Solihull, West Midlands, B90 4LH","B90 4LH","00800907","46130,
46730,
47520","10","1","80","0","31","10","82","18","77","23","84","16","79","21","","Ian Grainger (Finance Director)","250 to 499","E H SMITH (BUILDERS MERCHANTS) LIMITED","False","2026/04/05 00:00:00","2025/05/09 10:16:39"
"EPI GENESYS LIMITED","16623","Cathedral Court, 1 Vicar Lane, Sheffield, England, S1 2LT","S1 2LT","06388971","62012,
62090","2.3","5.3","","","0","0","75","25","50","50","75","25","50","50","https://www.epigenesys.org.uk/gender-pay-gap","Christopher Murray (Co-Director)","Less than 250","EPI GENESYS LIMITED","False","2026/04/05 00:00:00","2025/04/08 13:28:38"
"F.HINDS LIMITED","4875","24 Park Road, Uxbridge, Middlesex, UB8 1NH","UB8 1NH","00149328","47789","27.78","8.62","58.22","16.80","81.68","70.62","14.10","85.90","11.54","88.46","14.04","85.96","39.15","60.85","","Stephen Cornwall (Finance Director)","500 to 999","F.HINDS LIMITED","False","2026/04/05 00:00:00","2025/04/23 13:32:15"
"FGHSECURITY LTD","20708","Alston House, White Cross Business Park, South Road, Lancaster, Lancashire, United Kingdom, LA1 4XQ","LA1 4XQ","04713843","84240","-1.14","-0.89","","","0","0","81","19","89","11","85","15","83","17","","Jessica Spencer (Shared Services Director)","1000 to 4999","FGHSECURITY LTD","False","2026/04/05 00:00:00","2025/05/03 14:47:22"
"FIRSTSOURCE SOLUTIONS UK LIMITED","5039","Lynton House, 7-12 Tavistock Square, London, United Kingdom, WC1H 9LT","WC1H 9LT","03999896","82200,
82912,
82990","6.3","0","5.88","1.48","81.08","74.08","34.25","65.75","50.55","49.45","56.96","43.04","54.76","45.24","","Joanne Carlin (SVP - HR Europe)","1000 to 4999","FIRSTSOURCE SOLUTIONS UK LIMITED","False","2026/04/05 00:00:00","2025/04/07 12:59:36"
"GRUPO BIMBO UK LIMITED","8899","Swinton Meadows Industrial, Estate Swinton, Rotherham, South Yorkshire, S64 8AB","S64 8AB","04571039","10710","5","3","5.6","1.7","65","35","64","36","67","33","64","36","66","34","","Stephen Strain (HR Director)","500 to 999","GRUPO BIMBO UK LIMITED","False","2026/04/05 00:00:00","2025/05/09 11:00:49"
"HAMBLE AEROSTRUCTURES LIMITED","22606","Kings Avenue, Hamble-Le-Rice, Southampton, Hampshire, SO31 4NF","SO31 4NF","12109077","30300,
33160,
42990,
84220","4","7.58","12","69","71","45","70","30","88","12","86","14","87","13","","Elliot Seymour (HR Director)","500 to 999","HAMBLE AEROSTRUCTURES LIMITED","False","2026/04/05 00:00:00","2025/04/22 12:40:31"
"Hinchley Wood Learning Partnership","21151","Hinchley Wood Learning Partnership, Claygate Lane, Hinchley Wood, Surrey, KT10 0AQ","KT10 0AQ","","","27.9","39.8","","","0","0","3","97","15","85","19","81","33","67","","","250 to 499","Hinchley Wood Learning Partnership","False","2026/03/31 00:00:00","2025/04/30 07:10:54"
"HOWARD GARAGES (WESTON) LIMITED","6340","Herluin Way, Weston Super Mare, North Somerset, BS23 3YX","BS23 3YX","01108986","45111,
45112,
45200,
45320","18","16","51","61","87","93","61","39","80","20","85","15","85","15","https://www.howardsgroup.co.uk/assets/media/gender%20pay%20gap%20as%20at%205%20april%20202514052025-151613.pdf","Mark Eggar (Chief Financial Officer)","250 to 499","HOWARD GARAGES (WESTON) LIMITED","False","2026/04/05 00:00:00","2025/05/14 15:15:41"
"Hurst Education Trust Ltd","24861","College Lane, Hurstpierpoint, West Sussex, BN6 9JS","BN6 9JS","","","17.99","41.95","","","0","0","6.73","93.27","3.81","96.19","12.38","87.62","13.33","86.67","","","250 to 499","Hurst Education Trust Ltd","False","2026/03/31 00:00:00","2025/04/02 11:12:46"
"INDIGO CARE SERVICES LIMITED","17715","The Hamlet, Hornbeam Park, Harrogate, North Yorkshire, England, HG2 8RE","HG2 8RE","09593918","87300","1","3","73","74","5","95","12","88","12","88","11","89","11","89","https://orchardcarehomes.com/policies","Hayden Knight (CEO)","1000 to 4999","INDIGO CARE SERVICES LIMITED","False","2026/04/05 00:00:00","2025/04/07 13:37:01"
"INTERMARKETING AGENCY LIMITED","22136","650 Wharfedale Road, Winnersh Triangle, Wokingham, Berkshire, United Kingdom, RG41 5TP","RG41 5TP","02244383","73110","12.0","14.6","34.1","-4.2","4.4","12","37.3","62.7","43.9","56.1","55.2","44.8","53.8","46.2","","Alexandra Uprichard (Managing Director)","250 to 499","INTERMARKETING AGENCY LIMITED","False","2026/04/05 00:00:00","2025/05/14 12:34:40"
"INVERTEK DRIVES LIMITED","21807","Offa's Dyke Business Park, Welshpool, Powys, SY21 8JF","SY21 8JF","03504834","26512","29.7","3.1","84.8","60.1","32.1","30.3","55","45","62","38","80","20","89","11","https://www.invertekdrives.com/policy-documents","Ben Claxton (Financial Controller)","250 to 499","INVERTEK DRIVES LIMITED","False","2026/04/05 00:00:00","2025/04/29 10:11:23"
"JULIA'S HOUSE LIMITED","35982","Ground Floor Allenview House, Hanham Road, Wimborne, England, BH21 1AS","BH21 1AS","03465868","86900","25.49","6.31","","","0","0","11","89","4.7","95.3","9.4","90.6","17.2","82.8","https://www.juliashouse.org/sites/default/files/media-files/2025-04/Gender%20Pay%20Report%202025%202026.pdf","Hannah-May Tatton (HR Director)","250 to 499","JULIA'S HOUSE LIMITED","False","2026/04/05 00:00:00","2025/04/29 14:37:26"
"JUNIPER EDUCATION LIMITED","23289","Boundary House, County Place, Chelmsford, England, CM2 0RE","CM2 0RE","11992947","64209","14.4","11.5","-27.8","40","18.75","13.11","36.8","63.2","26.7","73.3","30.3","69.7","48","52","","Melissa Rowley (Payroll specialist)","250 to 499","JUNIPER EDUCATION LIMITED","False","2026/04/05 00:00:00","2025/04/21 19:44:40"
"KENNELPAK LIMITED","7186","Palmer Drive, Bessell Lane, Stapleford, Nottinghamshire, NG9 7BW","NG9 7BW","01129627","46210,
47760","-0.6","-6.0","-18.3","-30.7","93.3","90.3","60.0","40.0","53.3","46.7","37.5","62.5","46.7","53.3","","Shona Clark (Head of People)","Less than 250","KENNELPAK LIMITED","False","2026/04/05 00:00:00","2025/05/13 10:51:36"
"Koinonia Federation","36379","Hendon Street, Greenwich, London, SE10 0NF","SE10 0NF","","","12.83","41.60","","","0","0","21.6","78.4","24.3","75.7","31.1","68.9","36.5","63.5","","","250 to 499","Koinonia Federation","False","2026/03/31 00:00:00","2025/05/01 12:25:21"
"KPPES LTD","14805","Unit 3, Kpp Chartered Accountants Morris Park, 37 Rosyth Road, Glasgow, Scotland, G5 0YE","G5 0YE","SC349485","82990","9","21","","","0","0","13","87","22","78","27","73","28","72","https://keyportfolio.co.com/gender-pay-gap","Gary Walker (Director)","1000 to 4999","KPPES LTD","False","2026/04/05 00:00:00","2025/05/16 12:28:03"
"L3HARRIS TRL TECHNOLOGY LIMITED","34","Sigma Close, Shannon Way, Tewkesbury, Gloucestershire, GL20 8ND","GL20 8ND","01705039","27900","9.83","26.75","10.34","-12.70","14.39","1.94","67.86","32.14","76.19","23.81","86.90","13.10","90.59","9.41","https://www.l3harris.com/resources/ici-uk-gender-pay-gap-report","Nicky Tabram (Managing Director)","250 to 499","L3HARRIS TRL TECHNOLOGY LIMITED","False","2026/04/05 00:00:00","2025/04/10 09:22:56"
"Leeds College Of Building","7530","North Street, Leeds, West Yorkshire, United Kingdom, LS2 7QT","LS2 7QT","","1,
85320","10.01","22.55","","","0","0","44.00","56.00","61.62","38.38","77.78","22.22","71.72","28.28","","","250 to 499","Leeds College Of Building","False","2026/03/31 00:00:00","2025/04/10 16:17:11"
"Leicester City Council","7551","City Hall, 115 Charles Street, Leicester, LE1 1FZ","LE1 1FZ","","1,
84110","-5.0","-0.9","","","0","0","53","47","45","55","44","56","39","61","","","5000 to 19,999","Leicester City Council","False","2026/03/31 00:00:00","2025/05/14 14:10:08"
"LOGISTEX LIMITED","17599","2700 Kettering Parkway, Kettering, Northamptonshire, NN15 6XR","NN15 6XR","00334189","52219","7","20","7","20","1.8","0","85","15","97","3","89","11","92","8","https://www.logistex.com","Louise Chur (Head of People)","250 to 499","LOGISTEX LIMITED","False","2026/04/05 00:00:00","2025/04/29 15:33:28"
"MAGDALEN COLLEGE SCHOOL OXFORD LIMITED","14444","Magdalen College School, Cowley Place, Oxford, OX4 1DZ","OX4 1DZ","02106661","85200,
85310","9.66","17.62","","","0","0","47.30","52.70","38.36","61.64","50.68","49.32","61.64","38.36","https://www.mcsoxford.org/wp-content/uploads/2025/04/2024-Gender-Pay-Gap-Report-signed.pdf","Robert Price (Director / Chair of Governors)","250 to 499","MAGDALEN COLLEGE SCHOOL OXFORD LIMITED","False","2026/04/05 00:00:00","2025/04/24 08:43:58"
"Middlesbrough College","8436","Dock Street, Middlesbrough, Cleveland, United Kingdom, TS2 1AD","TS2 1AD","","1,
85320","7.2","12.8","50.3","73.3","1.1","2.2","28.7","71.3","37.5","62.5","42.1","57.9","50.1","49.9","https://www.mbro.ac.uk/about-us/governance/gender-pay-gap","","1000 to 4999","Middlesbrough College","False","2026/03/31 00:00:00","2025/04/15 09:41:39"
"MRS BUCKET CLEANING SERVICES LIMITED","16296","Unit 13 Axis Court Riverside Business Park, Swansea Vale, Swansea, Wales, SA7 0AJ","SA7 0AJ","05827677","81210","-1.7","0","-217.34","14.29","5.26","6.70","37.2","62.8","37.2","62.8","36.7","63.3","21.8","78.2","https://www.mrs-bucket.co.uk/resource/2024-gender-pay-gap-report/","Kate ABLETT (People and Operations Director)","250 to 499","MRS BUCKET CLEANING SERVICES LIMITED","False","2026/04/05 00:00:00","2025/04/10 11:07:09"
"NAZARETH CARE CHARITABLE TRUST","8841","LARMENIER CENTRE, 162 East End Road, East Finchley, London, N2 0RU","N2 0RU","05518564","87100,
87300","1.19","0","","","0","0","21","79","22","78","18","82","21","79","","Fiona Russell (Finance Director)","500 to 999","NAZARETH CARE CHARITABLE TRUST","False","2026/04/05 00:00:00","2025/04/28 13:58:33"
"PARTINGTONS HOLIDAY CENTRES LIMITED","22605","204 Fleetwood Road North, Thornton-Cleveleys, Lancashire, FY5 4BJ","FY5 4BJ","00391104","55300","2","0","-276","-6","56","37","51","49","32","68","48","52","55","45","","Rachel Norris (HR Director)","250 to 499","PARTINGTONS HOLIDAY CENTRES LIMITED","False","2026/04/05 00:00:00","2025/05/12 09:40:14"
"PAYPLAN LIMITED","21498","Kempton House Kempton Way, Dysart Road, Grantham, England, NG31 7LE","NG31 7LE","11193612","70100","7.33","0","-4.8","0.3","83.8","91.3","23.7","76.3","22.7","77.3","29.2","70.8","27.1","72.9","","Mike Thackery (HR Director)","250 to 499","PAYPLAN LIMITED","False","2026/04/05 00:00:00","2025/04/07 12:26:09"
"POINT NORTH COMMUNITY FOUNDATION","36378","Victoria House Whitfield Court, St Johns Road, Meadowfield Industrial Estate, Durham, DH7 8XL","DH7 8XL","03072153","82990","10.5","36.3","","","0","0","0","100","50","50","0","100","50","50","","Chris Rogerson (Finance Director)","Less than 250","POINT NORTH COMMUNITY FOUNDATION","False","2026/04/05 00:00:00","2025/05/01 07:58:03"
"PORTHAVEN CARE HOMES LIMITED","17242","Royal Albert House, Sheet Street, Windsor, Berkshire, United Kingdom, SL4 1BE","SL4 1BE","07690737","87100","-7","0","91","91","1.64","0.93","29","71","16.2","83.8","27.5","72.5","15.9","84.1","https://www.porthaven.co.uk/","Aayush Christie (Financial Controller)","250 to 499","PORTHAVEN CARE HOMES LIMITED","False","2026/04/05 00:00:00","2025/04/07 07:31:28"
"PORTHAVEN CARE HOMES LLP","9927","Royal Albert House, Sheet Street, Windsor, Berkshire, United Kingdom, SL4 1BE","SL4 1BE","OC348553","","-0.5","0","-26","-26","1.28","1","27.1","72.9","30.4","69.6","24.3","75.7","30","70","https://www.porthaven.co.uk/","Aayush Christie (Financial Controller)","250 to 499","PORTHAVEN CARE HOMES LLP","False","2026/04/05 00:00:00","2025/04/07 07:33:04"
"PORTHAVEN CARE HOMES NO 2 LIMITED","17243","Royal Albert House, Sheet Street, Windsor, Berkshire, United Kingdom, SL4 1BE","SL4 1BE","08167625","87100","-3.4","0","-53","-2","1.18","1.1","21.9","78.1","18.9","81.1","29.9","70.1","24","76","https://www.porthaven.co.uk/","Aayush Christie (Financial Controller)","500 to 999","PORTHAVEN CARE HOMES NO 2 LIMITED","False","2026/04/05 00:00:00","2025/04/07 07:34:41"
"PORTHAVEN CARE HOMES NO 3 LIMITED","23389","Royal Albert House, Sheet Street, Windsor, Berkshire, United Kingdom, SL4 1BE","SL4 1BE","10508872","87300","0.2","0.78","13","-16","1.47","1.17","27.7","72.3","17.7","82.3","22","78","29.1","70.9","https://www.porthaven.co.uk/","Aayush Christie (Financial Controller)","500 to 999","PORTHAVEN CARE HOMES NO 3 LIMITED","False","2026/04/05 00:00:00","2025/04/07 07:35:55"
"QUEST EMPLOYMENT LIMITED","17755","7 - 9 The Avenue, Eastbourne, East Sussex, BN21 3YA","BN21 3YA","05509015","78200","1.78","2.66","-15.40","36.88","3.74","9.79","50.30","49.70","59.28","40.72","61.08","38.92","61.38","38.62","","Lynn Banks (FInance Director)","1000 to 4999","QUEST EMPLOYMENT LIMITED","False","2026/04/05 00:00:00","2025/05/07 08:39:37"
"REAL LIFE OPTIONS","10304","David Wandless House A1 Business Park, Knottingley Road, Knottingley, West Yorkshire, WF11 0BU","WF11 0BU","02699638","87300,
88100","2.15","0.65","","","0","0","26.28","73.72","25.44","74.56","22.16","77.84","34.96","65.04","","David SARGENT (Dr)","1000 to 4999","REAL LIFE OPTIONS","False","2026/04/05 00:00:00","2025/05/10 15:31:25"
"RUDOLPH & HELLMANN AUTOMOTIVE LIMITED","10694","Charter House, Sandford Street, Lichfield, Staffordshire, England, WS13 6QA","WS13 6QA","03881895","52219","0.32","0.00","28.94","0.00","4.50","11.20","77.50","22.50","85.90","14.10","93.50","6.50","80.60","19.40","https://www.rh-automotive.co.uk/download/clientfiles/files/RHA%20Gender%20Pay%20Gap%20Reporting%20Summary%202024-25.pdf","Paul Brown (Finance Director)","500 to 999","RUDOLPH & HELLMANN AUTOMOTIVE LIMITED","False","2026/04/05 00:00:00","2025/04/15 10:30:37"
"SCOT J C B LIMITED","19103","400 Townmill Road, Glasgow, G31 3AR","G31 3AR","SC051692","46610,
46630","10.2","22.8","70.0","52.1","100","100","72.5","27.5","82.5","17.5","96.2","3.8","88.8","11.2","","Stephen Barker (Director)","250 to 499","SCOT J C B LIMITED","False","2026/04/05 00:00:00","2025/04/29 09:18:41"
"SCOT JCB (HOLDINGS) LIMITED","15944","Townmill Road, Glasgow, G31 3AR","G31 3AR","SC180256","46630","10.2","22.8","70.0","52","100","100","72.5","27.5","82.5","17.5","96.2","3.8","88.8","11.2","","Stephen Barker (Director)","250 to 499","SCOT JCB (HOLDINGS) LIMITED","False","2026/04/05 00:00:00","2025/04/29 09:20:00"
"SEAX TRUST","18150","Seax Trust Head Office Grove House School, Sawyers Hall Lane, Brentwood, Essex, United Kingdom, CM15 9BZ","CM15 9BZ","07747149","85590","-0.5","10.1","","","0.00","0.00","14","86","22","78","25","75","21","79","https://www.seaxtrust.com/important-governance-documents/","","250 to 499","SEAX TRUST","False","2026/03/31 00:00:00","2025/04/30 15:29:40"
"SONOCO LIMITED","11341","C/O Sonoco Cores & Paper Ltd Stainland Board Mills, Holywell Green, Halifax, England, HX4 9PY","HX4 9PY","00082196","17120","8.73","7.61","51","61.90","10.51","17.72","50.46","49.54","58.72","41.28","68.52","31.48","76.85","23.15","","Stacy Williams (Associate Director HR Europe RPC)","250 to 499","SONOCO LIMITED","False","2026/04/05 00:00:00","2025/04/16 08:00:10"
"Staffordshire and Stoke-on-Trent Intergrated Care Board","35685","New Beacon Building, Stafford Education and Enterprise Park, Weston Road, Stafford, Staffordshire, ST18 0BF","ST18 0BF","","","27.1","19.4","","","0","0","14.9","85.1","16.4","83.6","23.1","76.9","42.5","57.5","","","250 to 499","Staffordshire and Stoke-on-Trent Intergrated Care Board","False","2026/03/31 00:00:00","2025/04/11 15:16:24"
"STEPNELL LIMITED","11701","Lawford Road, Rugby, Warwickshire, CV21 2UU","CV21 2UU","00402934","41100","19.63","22.64","100","100","100","0","85.06","14.94","67.05","32.95","85.23","14.77","93.33","6.67","","David Crombie (Group Accountant)","250 to 499","STEPNELL LIMITED","False","2026/04/05 00:00:00","2025/04/09 11:16:54"
